twelfth,month name,Year,moonsign,moon,sun,mercury,venus,mars,jupiter,saturn,uranus,neptune,pluto,eris,,,,,
82,sep,2020,virgo,3,23,0,0,0,0,0,0,0,0,0,,,,,
83,sep,2020,libra,3,0,18,0,0,0,0,0,0,0,0,,,,,
84,oct,2020,scorpio,3,0,0,0,0,0,0,0,0,0,0,,,,,
85,oct,2020,sag,2,0,0,0,0,0,0,0,0,0,0,,,,,
86,oct,2020,cap,13,0,0,0,0,17,25,0,0,22,0,,,,,
87,oct,2020,aquarius,9,0,0,0,0,0,0,0,0,0,0,,,,,
88,oct,2020,pisces,4,0,0,0,0,0,0,0,19,0,0,,,,,
89,oct,2020,aries,22,0,0,0,24,0,0,0,0,0,24,,,,,
90,oct,2020,taurus,4,0,0,0,0,0,0,9,0,0,0,,,,,
91,oct,2020,gemini,9,0,0,0,0,0,0,0,0,0,0,,,,,
92,oct,2020,cancer,4,0,0,0,0,0,0,0,0,0,0,,,,,
93,oct,2020,cancer,29,0,0,0,0,0,0,0,0,0,0,,,,,
94,oct,2020,leo,13,0,0,0,0,0,0,0,0,0,0,,,,,
95,oct,2020,virgo,11,0,0,13,0,0,0,0,0,0,0,,,,,
96,oct,2020,libra,11,23,0,0,0,0,0,0,0,0,0,,,,,
97,nov,2020,scorpio,12,0,10,0,0,0,0,0,0,0,0,,,,,
98,nov,2020,sag,11,0,0,0,0,0,0,0,0,0,0,,,,,
99,nov,2020,cap,9,0,0,0,0,19,25,0,0,22,0,,,,,
100,nov,2020,aquarius,6,0,0,0,0,0,0,0,0,0,0,,,,,
101,nov,2020,pisces,1,0,0,0,0,0,0,0,18,0,0,,,,,
102,nov,2020,aries,19,0,0,0,16,0,0,0,0,0,24,,,,,
103,nov,2020,taurus,13,0,0,0,0,0,0,8,0,0,0,,,,,
104,nov,2020,gemini,6,0,0,0,0,0,0,0,0,0,0,,,,,
105,nov,2020,cancer,1,0,0,0,0,0,0,0,0,0,0,,,,,
106,nov,2020,leo,9,0,0,0,0,0,0,0,0,0,0,,,,,
107,nov,2020,virgo,6,0,0,0,0,0,0,0,0,0,0,,,,,
108,nov,2020,libra,4,0,0,18,0,0,0,0,0,0,0,,,,,
109,dec,2020,scorpio,4,22,3,0,0,0,0,0,0,0,0,,,,,
110,dec,2020,sag,5,0,0,0,0,0,0,0,0,0,0,,,,,
111,dec,2020,cap,4,0,0,0,0,23,27,0,0,22,0,,,,,
112,dec,2020,aquarius,1,0,0,0,0,0,0,0,0,0,0,,,,,
113,dec,2020,pisces,10,0,0,0,0,0,0,0,18,0,0,,,,,
114,dec,2020,aries,4,0,0,0,16,0,0,0,0,0,23,,,,,
115,dec,2020,taurus,9,0,0,0,0,0,0,7,0,0,0,,,,,
116,dec,2020,gemini,3,0,0,0,0,0,0,0,0,0,0,,,,,
117,dec,2020,cancer,10,0,0,0,0,0,0,0,0,0,0,,,,,
118,dec,2020,leo,5,0,0,0,0,0,0,0,0,0,0,,,,,
119,dec,2020,virgo,2,0,0,0,0,0,0,0,0,0,0,,,,,
120,dec,2020,libra,14,0,0,0,0,0,0,0,0,0,0,,,,,
121,dec,2020,scorpio,13,0,0,25,0,0,0,0,0,0,0,,,,,
122,dec,2020,sag,13,22,19,0,0,0,0,0,0,0,0,,,,,
123,dec,2020,cap,12,0,0,0,0,29,29,0,0,23,0,,,,,
124,dec,2020,aquarius,9,0,0,0,0,0,1,0,0,0,0,,,,,
125,dec,2020,pisces,6,0,0,0,0,0,0,0,18,0,0,,,,,
126,dec,2020,aries,12,0,0,0,23,0,0,0,0,0,23,,,,,
127,dec,2020,taurus,6,0,0,0,0,0,0,6,0,0,0,,,,,
128,dec,2020,gemini,12,0,0,0,0,0,0,0,0,0,0,,,,,
129,dec,2020,cancer,7,0,0,0,0,0,0,0,0,0,0,,,,,
130,jan,2021,leo,2,0,0,0,0,0,0,0,0,0,0,,,,,
131,,2021,virgo,26,0,0,0,0,0,0,0,0,0,0,,,,,
132,,2021,libra,24,0,0,0,0,0,0,0,0,0,0,,,,,
133,,2021,scorpio,8,0,0,0,0,0,0,0,0,0,0,,,,,
134,,2021,sag,7,0,0,0,0,0,0,0,0,0,0,,,,,
135,,2021,cap,20,23,0,5,0,0,0,0,0,24,0,,,,,
136,,2021,aquarius,4,0,8,0,0,5,2,0,0,0,0,,,,,
137,,2021,pisces,26,0,0,0,0,0,0,0,18,0,0,,,,,
138,,2021,aries,8,0,0,0,0,0,0,0,0,0,23,,,,,
139,,2021,taurus,14,0,0,0,7,0,0,6,0,0,0,,,,,
140,,2021,gemini,20,0,0,0,0,0,0,0,0,0,0,,,,,
141,,2021,cancer,2,0,0,0,0,0,0,0,0,0,0,,,,,
142,,2021,leo,25,0,0,0,0,0,0,0,0,0,0,,,,,
143,,2021,virgo,9,0,0,0,0,0,0,0,0,0,0,,,,,
144,feb,2021,libra,21,0,0,0,0,0,0,0,0,0,0,,,,,
145,,2021,scorpio,5,0,0,0,0,0,0,0,0,0,0,,,,,
146,,2021,sag,17,0,0,0,0,0,0,0,0,0,0,,,,,
147,,2021,cap,1,0,0,0,0,0,0,0,0,25,0,,,,,
148,,2021,aquarius,25,23,16,13,0,12,6,0,0,0,0,,,,,
149,,2021,pisces,8,0,0,0,0,0,0,0,19,0,0,,,,,
150,,2021,aries,28,0,0,0,0,0,0,0,0,0,0,,,,,
151,,2021,taurus,10,0,0,0,21,0,0,7,0,0,0,,,,,
152,,2021,gemini,28,0,0,0,0,0,0,0,0,0,0,,,,,
153,,2021,cancer,10,0,0,0,0,0,0,0,0,0,0,,,,,
154,,2021,leo,20,0,0,0,0,0,0,0,0,0,0,,,,,
